"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DE-LU","04.04.2022 14:45 - 04.04.2022 15:00 (CET/CEST)","4405","7031","n/e","3932","4909","293","n/e","n/e","21","134","5357","1006","124","n/e","3568","275","109","16469","835","3927","35368"
"BZN|DE-LU","04.04.2022 15:00 - 04.04.2022 15:15 (CET/CEST)","4407","7052","n/e","4101","4880","293","n/e","n/e","21","140","4974","1002","205","n/e","3618","275","109","15466","819","4162","36346"
"BZN|DE-LU","04.04.2022 15:15 - 04.04.2022 15:30 (CET/CEST)","4401","7059","n/e","4117","4805","293","n/e","n/e","21","89","4806","997","167","n/e","3629","275","109","14537","836","4298","36772"
"BZN|DE-LU","04.04.2022 15:30 - 04.04.2022 15:45 (CET/CEST)","4407","7014","n/e","4140","4794","293","n/e","n/e","21","88","4699","997","110","n/e","3618","281","112","13628","838","4321","37854"
"BZN|DE-LU","04.04.2022 15:45 - 04.04.2022 16:00 (CET/CEST)","4410","7046","n/e","4228","4801","293","n/e","n/e","21","113","4651","999","88","n/e","3610","289","115","12642","843","4216","39202"
"BZN|DE-LU","04.04.2022 16:00 - 04.04.2022 16:15 (CET/CEST)","4407","7193","n/e","4158","4732","293","n/e","n/e","21","123","4764","996","42","n/e","3643","294","118","11630","847","4231","39030"
"BZN|DE-LU","04.04.2022 16:15 - 04.04.2022 16:30 (CET/CEST)","4412","7154","n/e","4166","4677","293","n/e","n/e","21","60","4873","980","92","n/e","3643","294","118","10505","851","4243","40746"
"BZN|DE-LU","04.04.2022 16:30 - 04.04.2022 16:45 (CET/CEST)","4408","7187","n/e","4160","4684","293","n/e","n/e","21","91","4150","979","112","n/e","3651","294","118","9417","843","4189","41234"
"BZN|DE-LU","04.04.2022 16:45 - 04.04.2022 17:00 (CET/CEST)","4419","7177","n/e","4175","4735","293","n/e","n/e","21","536","3537","989","35","n/e","3666","294","118","8321","830","4153","41208"
"BZN|DE-LU","04.04.2022 17:00 - 04.04.2022 17:15 (CET/CEST)","4424","7117","n/e","4527","5020","293","n/e","n/e","21","400","2515","976","26","n/e","3771","294","118","7224","822","3685","41525"
